"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"NCI-H209",-3.05737,-1.87129,0.33034,-1.69721,-4.34368,-3.27776,-0.09728,-0.43048,-3.99172,-0.93727,1.45456
"NCI-H211",-0.879,-1.30486,0.06532,-1.27339,-2.54045,-1.41564,1.63679,-0.84189,-2.43697,0.26856,-0.86108
"NCI-H2110",0.27233,-1.10835,-0.47213,1.07418,0.68714,0.41672,1.46799,0.04199,0.81562,-1.58682,2.51443
"NCI-H2122",-0.59186,0.55478,-0.33947,1.45994,0.47236,-0.77424,3.86107,-1.53756,1.63029,-0.46166,0.9196
"NCI-H2135",-0.16357,-0.39302,-1.0475,0.97047,0.73514,-1.36231,-0.27064,-0.11457,-0.45279,-0.36668,0.16388
"NCI-H2141",-1.78913,-2.27705,1.09676,-0.23231,-1.44155,-2.71836,-1.60493,1.18449,-2.08525,0.18694,-0.74636
"NCI-H2170",-1.33568,-2.61094,-0.62155,3.27354,-0.29672,-3.5742,2.77192,-1.04336,-0.598,-1.58709,5.72615
"NCI-H2172",2.68604,3.8886,-0.44477,-0.80253,0.04604,-1.45359,0.38117,0.10181,-0.6413,1.54121,0.60381
"NCI-H2196",0.65247,0.836,1.48065,-0.37811,-2.39205,-1.15682,-2.6761,0.40838,-0.41825,-1.99734,1.1982
"NCI-H2227",-0.57407,-3.79459,1.60397,-1.4001,-2.84801,-2.04539,1.66158,1.70846,-3.27018,-1.74296,0.03193
"NCI-H2228",2.38843,1.90145,-2.97389,0.44893,1.07993,1.34609,0.12195,-0.84495,1.872,0.46096,-0.42302
"NCI-H226",2.03592,1.33103,-1.91235,5.32692,3.09744,0.75595,-0.36516,-0.52133,0.82682,0.97205,-0.23794
"NCI-H2291",-0.27001,1.6834,-1.19721,0.23333,3.64537,1.17943,1.39919,-0.86657,0.69007,-1.87727,-1.19867
"NCI-H23",-0.63433,-0.06715,0.5613,0.17288,3.48843,-1.66834,1.06925,-1.25098,1.59701,0.15218,-0.66196
"NCI-H2342",-1.2328,-2.12211,0.76503,1.06232,-0.85924,-1.29188,1.78951,-0.30443,-0.49311,-4.22157,-2.28957
"NCI-H2347",-0.25493,1.34125,-1.10694,4.478,4.29969,1.99415,0.80967,-1.62253,1.85666,-4.41609,-0.30371
"NCI-H2405",1.12503,2.32615,-1.60877,1.12722,0.56988,-0.85502,0.5039,1.6706,1.23014,-1.17229,1.0895
"NCI-H2444",0.24042,-0.22357,-2.15976,1.65289,3.72794,0.10765,0.78781,-1.18984,1.38167,-0.60144,-1.94702
"NCI-H2452",3.05563,2.46516,-2.49193,1.44395,2.88924,0.01422,-1.84699,1.95649,0.67341,0.79345,-0.28602
"NCI-H250",-0.46099,-0.60389,1.07382,-0.52826,0.01501,-1.0816,-4.3836,0.63819,-2.27168,-2.93769,0.44313
"NCI-H28",0.43462,-0.53343,-0.5206,2.78552,0.69836,-1.80418,0.69866,-1.34096,-0.34683,0.70001,0.9905
"NCI-H292",-1.09138,0.39655,-0.82787,0.96934,0.0282,-0.87605,1.04539,-0.6242,-0.42461,-0.56626,0.89786
"NCI-H3122",-0.73654,1.6391,0.11268,1.02505,2.04845,-1.5895,1.81446,-0.4402,0.23826,-1.91211,1.91895
"NCI-H322M",-1.2618,-0.61463,-0.3551,-0.80723,0.00792,-0.36036,0.61913,-2.54679,0.60184,-1.18782,-3.50934
"NCI-H345",-1.82639,-0.64911,0.78369,-0.30919,-1.53249,-1.44922,-0.10103,-0.07868,-2.45751,-2.31029,-1.52281
"NCI-H358",0.58125,-0.28138,-0.15585,0.75912,0.77913,0.74198,1.58965,-4.82279,-0.25951,-2.59163,-2.91862
"NCI-H378",-1.39559,-1.44926,1.30833,-0.07184,-4.38671,-3.69312,-1.55761,2.22216,-3.1492,-0.51556,-0.59509
"NCI-H441",0.20436,-1.23534,-0.97336,2.27374,4.20644,1.00303,1.96047,-1.69586,0.53861,-2.23645,-1.94493
"NCI-H446",1.04167,-0.54669,0.38587,-0.4187,-2.3255,-1.29498,-2.53842,2.6793,-1.80225,2.19207,4.5993
"NCI-H510A",-1.50011,0.46366,-0.20709,-0.48575,-1.53516,-0.66793,0.55619,1.25283,-2.87114,-2.92287,-0.25077
"NCI-H520",0.2663,3.07649,0.75793,-1.05695,-0.6249,-1.0663,0.78459,1.01161,-2.15146,-2.27572,3.37412
"NCI-H522",-1.11927,0.04914,0.54692,-1.86423,-1.6747,-4.18154,1.13277,1.39122,-3.02034,-1.1646,-2.91215
"NCI-H524",-2.42573,-1.88258,0.91835,-0.51254,-1.57752,-3.02706,-0.36101,2.30875,-4.18763,-0.11529,0.85369
"NCI-H526",-1.3407,-0.09662,0.13532,0.38715,-2.03428,-1.12578,-1.33573,1.84621,-3.27306,-0.15076,-0.19837
"NCI-H596",1.32,2.31435,-1.66899,1.10434,0.62103,2.63884,-1.08209,-1.49083,5.0526,1.51108,0.83039
"NCI-H630",-1.27984,-1.50207,-0.1472,0.20549,-0.23548,-1.14188,5.43794,-3.03582,-0.52798,-3.30252,0.3865
"NCI-H64",-3.52481,-4.20534,0.8743,-2.53311,-4.37403,-1.92069,-0.60317,0.65778,-4.661,-3.51568,0.45137
"NCI-H647",1.48692,2.53853,-0.54682,1.29682,0.92214,0.33959,-1.79497,1.01429,2.83701,2.2357,1.30195
"NCI-H650",-0.34778,3.78728,0.31799,-1.77472,0.59819,0.12094,-0.08773,-1.30028,1.68671,-0.77869,0.50056
"NCI-H660",-0.38588,-0.23816,-0.24235,-0.0515,-0.37974,-1.62475,-0.13213,0.39428,-1.9928,-2.08539,2.74455
"NCI-H661",1.76011,0.45389,1.01162,-2.89038,0.27051,-0.76658,-0.3745,1.40114,-1.11111,-0.1488,1.6169
"NCI-H69",-3.99373,-5.44773,0.80964,-1.37523,-1.72263,-3.15439,-0.83388,1.16595,-2.13108,0.04029,0.94436
"NCI-H716",-0.22213,-3.25901,0.5678,1.17319,-0.19588,-0.21318,0.32648,1.23845,-2.0038,-0.83614,0.42741
"NCI-H720",-1.15943,-1.98324,1.17606,0.98345,-1.88526,-4.65949,1.08674,1.00109,-2.92636,0.32959,3.15042
"NCI-H727",-0.128,-1.71072,1.07518,-0.9033,0.79333,-1.61572,0.71849,-0.35711,0.32767,-2.75166,0.99566
"NCI-H740",-0.60441,-3.0893,1.37827,1.31719,-0.35919,-1.16438,-2.42216,0.1668,-1.34601,0.23224,0.05001
"NCI-H747",-0.01841,1.34042,-0.12635,0.34798,0.17707,1.70498,1.56238,-3.83827,0.76232,-0.78272,-3.04648
"NCI-H748",-0.97979,-1.50075,1.36123,1.01758,-0.9225,-3.08576,0.71679,1.18762,-2.81207,-2.29991,1.56346
"NCI-H810",-0.74014,-1.68323,2.17691,0.7757,-1.15504,-2.17283,1.64996,0.17029,-2.03587,-0.60973,-0.64401
"NCI-H82",-1.72499,-3.99762,0.20855,-1.18543,-3.98423,-2.0577,0.27195,0.37885,-3.88973,-0.7414,2.88497
"NCI-H835",-1.5999,-2.42384,0.3574,-0.17317,-2.2131,-0.45073,-2.17777,0.5155,-2.90848,-1.81332,0.86919
"NCI-H838",2.10701,0.88296,0.73995,-0.65901,-0.57406,-0.96683,0.65576,0.59119,0.85791,1.14031,2.0664
"NCI-H841",0.12617,-2.06565,-0.35511,-1.08888,-0.81083,-1.11543,0.76209,1.22335,-1.77761,-0.91101,-2.41846
"NCI-H847",-0.79139,-3.04057,-0.25409,-0.77469,-0.93756,-2.65675,-1.85347,-0.0898,-4.09079,-0.43454,3.20892
"NCI-H929",-4.12006,-1.08696,1.88081,-2.58691,-1.29923,2.10757,1.43872,0.69282,-1.12638,0.86482,0.08865
"NCI-N87",-0.88648,-0.6835,-0.11499,3.26592,0.19916,-0.219,0.30872,-2.13439,-1.0837,-3.19907,0.18836
"NCI-SNU-1",1.4055,-0.66745,0.76491,-0.3195,-0.45715,-1.3869,-1.49972,-1.63653,-1.74833,1.31934,-0.69565
"NCI-SNU-16",-2.46617,-4.55662,-0.49064,-0.14762,-1.33894,-1.44559,0.64145,-2.39278,-1.22007,-2.42603,-0.54604
"NCI-SNU-5",-1.6888,-1.42827,-2.44614,1.09351,-0.26847,0.53351,2.44041,0.41077,0.40322,-1.16712,-1.30466
"NEC8",-0.69633,4.47568,-0.78869,-0.51727,-0.61537,-1.84745,1.90581,0.52804,-2.10461,-0.28674,-0.52407
"NH-12",-0.15456,-0.07285,0.46816,-1.12944,-1.53831,-2.9197,-1.2455,2.63791,-1.18491,1.62428,-0.35252
"NKM-1",-2.14593,-1.39113,1.6722,-1.73994,-2.12222,1.24382,-1.26729,1.12303,-0.85447,-0.04347,-2.86648
"NMC-G1",3.26914,1.13966,-2.80201,1.65946,0.47473,0.54246,-1.38539,3.65708,0.26744,2.74666,-2.90574
"no-10",1.99605,0.64735,-1.14203,1.63606,0.88743,-0.99069,-1.35694,-0.94107,-0.33877,0.34026,1.29019
"no-11",1.88975,0.85996,-3.40132,-0.66441,0.31793,-1.21619,-0.98122,2.20913,0.56785,0.61836,-0.34149
"NOMO-1",-2.54437,-0.46799,4.09122,-0.67217,-1.32145,2.39056,-2.97126,0.10395,-0.41802,-2.01703,1.01266
"NOS-1",0.9796,0.44523,0.23743,-2.22903,-0.95834,-2.04081,-0.28018,2.65581,-1.93606,0.72412,-1.09917
"NTERA-2 cl.D1",0.46842,0.00047,-1.65666,0.98174,-0.67681,-3.61537,-1.77409,-1.43455,-1.54357,0.98516,0.80487
"NU-DUL-1",-2.03474,-0.09565,2.78665,-0.48788,-2.27453,1.99387,-0.44478,-0.32088,0.6624,0.43682,3.17602
"NUGC-3",-0.79822,0.741,-1.13423,0.02292,1.38042,1.14172,1.07368,-0.2203,1.71621,-2.1855,1.04312
"NUGC-4",0.45284,-1.51932,-0.54429,2.38282,1.96705,1.40759,1.19573,-0.96883,0.43228,-1.27842,-1.78097
"NY",1.64011,-0.77334,-0.85717,-1.10927,0.32781,-0.50559,-1.25174,2.77377,-0.43335,0.05847,-0.75295
"OACM5-1",-0.16317,-1.03744,-0.70163,0.50421,-1.21427,-4.74169,-0.65084,1.73158,-2.29181,1.30796,0.64042
"OACp4C",-0.2957,-0.40624,-0.46902,0.14795,-0.51198,0.68015,2.02574,-0.04986,0.80539,-0.97205,2.64405
"OAW-28",-0.15926,1.39374,-0.60925,0.94565,0.69536,-0.44446,1.45645,0.24489,-0.93271,-0.83947,-0.34053
"OAW-42",0.07733,1.12854,-0.4587,-1.05866,0.38549,1.51475,1.61037,-1.91138,1.42537,1.25472,1.15007
"OC-314",-0.68016,-1.11949,-0.26971,1.6812,0.84132,-0.23816,0.56359,-2.43116,0.17327,-0.95325,-0.31114
"OCI-AML2",-2.84444,-0.4672,4.71626,-0.31363,-0.97454,2.8546,-2.39584,-1.28911,0.02352,-1.47012,0.94788
"OCI-AML3",-1.30679,-0.20438,3.58152,-1.10721,-0.74753,1.97945,-1.582,0.38653,0.86749,-1.9462,1.86449
"OCI-AML5",-2.87928,-0.55172,2.40027,-1.35904,-1.36423,2.46949,-0.6203,0.27209,-0.27901,0.50272,-0.27168
"OCI-LY-19",-2.63813,-1.35333,1.8738,-1.36762,-2.61582,1.25393,-0.03646,1.59664,-0.53325,-0.23301,0.81752
"OCI-LY7",-2.60022,-0.94762,2.01826,-3.14906,-2.065,0.1797,-0.33883,-0.48176,-0.41043,-1.39494,2.22699
"OCI-M1",-0.20943,0.30587,1.73739,-1.4269,-1.92673,0.92062,-0.58232,-0.79238,-0.63795,0.20676,-0.13059
"OCUB-M",-1.5517,-1.99427,0.33927,-0.03844,-1.01058,-3.17949,3.12783,-0.20355,-1.87498,-0.98446,2.35152
"OCUM-1",-0.07392,-0.33648,0.39867,0.86292,0.33051,-0.90039,1.93836,0.06668,0.54813,-2.87603,-3.77232
"OE19",-1.26033,-3.68974,1.28073,0.6192,-0.73957,-0.98274,1.72946,-1.53165,-1.14149,-1.1897,0.02562
"OE21",0.57434,-0.784,-0.26764,1.40238,0.00238,0.33833,1.14212,0.78394,0.3524,0.28118,-0.26238
"OE33",-0.63895,-0.44619,-0.14036,2.09391,1.84077,1.53228,3.50842,-0.38521,1.45343,-0.32045,-1.01342
"ONS-76",0.40802,3.75691,0.63997,-0.58432,1.21535,-0.5933,0.56933,0.66775,0.65332,0.05691,0.02088
"OPM-2",-2.58325,-1.92181,0.64536,-0.85299,-1.32523,1.54907,0.84398,-1.32468,-1.50219,-0.02343,2.2059
"OS-RC-2",1.30029,-1.62915,-2.21364,2.80167,0.69361,-0.33653,0.3475,0.59294,1.70782,0.39985,-0.12541
"OSC-19",0.51526,3.5072,-2.04773,0.78454,1.45234,2.14425,0.79651,-1.32055,5.59336,-1.53386,-2.22337
"OSC-20",0.10683,-0.62267,0.0879,2.1058,1.72415,1.6516,1.6801,-1.1299,0.78965,-0.60157,0.53887
"OV-17R",-0.10688,0.51345,-0.42744,-0.24973,0.08989,-1.4772,0.79535,1.19366,1.1673,1.12206,0.35315
"OV-56",1.77591,-0.02978,-0.93665,2.02733,1.79897,2.59711,-0.00737,-0.52149,3.33355,1.6458,0.50434
"OV-7",2.7327,-0.26871,-5.53083,1.82628,4.27061,0.1474,0.37428,-1.31304,1.69903,2.54289,0.30221
"OV-90",-0.70483,-1.42017,-0.25694,3.20858,-0.53236,-0.29441,0.74001,-2.21994,-0.06225,-0.18874,-0.93071
"OVCA420",-0.23349,-1.86258,-2.68866,3.10522,1.14715,-0.51729,2.50499,-2.1396,0.86663,-0.27798,-0.00358
"OVCAR-3",-0.60271,-0.03678,1.20244,0.8208,-0.39653,-0.55714,1.40001,1.24963,-0.67577,-2.20399,3.46298
"OVCAR-4",0.13383,-1.37155,-0.87393,1.99618,0.10442,0.23507,3.69991,-2.05552,-0.23261,0.13823,0.79137
"OVCAR-5",1.18809,0.76048,-0.50579,1.03024,1.13374,-0.55898,0.48484,-0.04515,0.49341,1.11042,1.60483
"OVCAR-8",1.80153,0.43368,-1.73557,-0.17459,1.14338,0.41376,-2.94622,0.31317,0.67593,0.92496,0.36117
"OVISE",0.47493,-0.21367,0.67523,1.57412,1.70253,0.05662,2.67582,-0.88929,-0.73128,0.78231,-0.57133
"OVK-18",-0.60862,-1.15512,0.47902,-0.4119,-1.00682,-0.9827,0.13535,-2.4209,-1.76586,0.77927,0.51437
"OVKATE",0.75405,1.09103,0.46727,-1.29551,-0.0097,0.17869,0.32217,-0.45072,-0.48883,-3.91976,-3.70091
"OVMIU",-1.08719,1.03171,-0.60167,0.62368,1.57776,0.98131,3.63534,-0.01732,-0.69956,-0.20266,2.5108
"OVTOKO",-0.08037,-1.34066,-1.01216,1.13548,3.04301,-0.0353,2.24135,-5.92241,1.35823,0.32919,-0.89121
"P12-ICHIKAWA",-1.76572,-1.765,1.94033,-2.85755,-1.16774,0.1066,-2.4648,0.66519,-2.48484,-0.56731,1.07992
"P30-OHK",-0.69125,0.55313,0.48608,-2.53426,-2.07287,0.42296,-1.5205,0.23015,-0.62921,-0.86773,-0.69422
"P31-FUJ",-2.77058,-4.1363,3.12781,-1.9618,-0.91109,2.31946,-2.34354,-0.58041,-0.17431,1.24234,4.58564
"P32-ISH",-3.62757,-1.14238,2.76006,-2.84804,-3.10313,-0.44454,0.5902,0.44795,-0.23553,-0.2743,2.24612
"PA-1",0.78088,0.70476,0.17879,0.22236,-0.35236,-0.68888,-0.20269,-2.52344,-1.15313,1.2524,1.69602
"PA-TU-8902",-1.25177,-1.82292,0.83283,1.23734,0.75556,-0.11052,0.99773,0.03231,0.39196,-1.10127,0.28574
"PA-TU-8988T",1.15143,-1.13383,-2.09459,0.22196,-0.13605,-0.03753,-0.60482,-0.19923,-0.4254,0.64914,0.79056
"PANC-02-03",0.38825,1.84423,-1.40403,1.17944,1.43183,0.51924,2.08079,-1.96533,0.35437,-0.12553,1.18427
"PANC-03-27",1.25389,3.79316,-0.71647,1.46349,3.439,2.20376,0.82358,-4.04226,2.99143,-0.02221,-0.0081
"PANC-04-03",0.77676,-0.32829,0.40936,0.59919,2.26907,1.30728,0.59336,-4.05212,0.69101,-0.84148,-2.04964
"PANC-08-13",0.69009,0.55527,-2.30326,2.13335,4.4385,3.22884,0.97842,-2.75535,1.66798,-0.37615,-0.95226
"PANC-10-05",-0.11108,0.76066,-0.19302,1.43249,1.14057,0.27726,0.61486,-3.51396,0.18428,-1.0588,0.06381
"PC-14",0.56866,-0.62,-0.56323,0.57807,1.18571,-0.68401,3.89482,-0.10163,-0.08791,-1.66075,0.56176
"PC-3",0.43192,0.20116,-0.94532,-0.14103,0.29071,-0.63274,3.23227,0.29327,0.04771,-2.60169,-1.8745
"PC-3 [JPC-3]",0.34442,-1.80816,-0.7264,1.24034,-0.04822,1.93809,2.81762,0.20899,1.97505,-0.56787,-1.86135
"PCI-15A",-0.13968,2.28262,-0.16094,0.24614,-0.03628,0.50602,1.44333,1.23182,0.27328,0.268,-0.00595
"PCI-30",1.82183,-0.07652,-0.22177,-0.40552,1.40823,-1.29658,-2.37044,-0.3338,-0.97612,-0.3709,0.43415
"PCI-38",-0.41135,0.38326,-2.86768,4.10803,0.26203,0.37655,1.59269,0.86696,-0.36447,0.4409,1.55296
"PCI-4B",1.13513,2.17109,-1.86009,0.40438,4.88131,1.79443,1.30825,1.03107,2.10848,-1.69892,-2.2541
"PCI-6A",-1.24844,-1.40774,0.39808,1.2353,1.40194,1.56253,-0.10159,0.43625,0.09504,-0.21,1.69091
"PE/CA-PJ15",-0.15937,-0.72181,0.52983,2.37708,1.86735,1.8056,3.20235,-2.03166,0.44926,-1.49091,0.91954
"PEO1",0.01085,1.30576,-0.27924,0.49817,0.55783,0.57935,2.70536,1.72129,0.12619,-0.9982,-0.46474
"PF-382",-1.71169,-1.64867,2.78009,-2.47752,-4.16283,0.85347,-1.42312,-0.96479,-0.9782,-2.30388,-4.29576
"PFSK-1",1.00068,-0.68806,0.28226,0.46451,-0.43415,-1.27055,-0.67437,-0.18817,-1.83671,1.56542,7.60505
"PL-21",-2.45832,-4.10962,4.25931,-1.14838,-1.37414,1.16035,-1.05875,0.2551,-0.46737,-2.01382,0.38826
"PL18",1.86243,1.11944,-2.0406,0.61516,1.16017,-0.1843,-0.40862,-1.55959,0.51747,-0.68554,0.24248
"PL4",-0.43523,0.20138,-0.74321,1.88475,2.30268,0.79027,-0.16227,-2.27897,0.60342,-0.09401,0.77655
"PSN1",1.54131,1.47102,0.72417,0.65165,2.52413,0.10548,-0.42171,0.84988,1.02092,-0.06387,-0.77321
"PWR-1E",1.76291,0.7079,-0.00147,1.90441,1.89009,-0.68845,-0.38746,-1.32387,0.49381,1.77239,1.65324
"QGP-1",0.5418,-0.06027,0.71572,-0.91395,-0.22443,0.33401,0.26148,-2.63789,1.16779,0.77671,-2.25825
"QIMR-WIL",-2.30119,-0.84835,2.01058,-2.08027,-1.86244,4.38614,-0.95277,-0.41698,2.29083,-1.67057,0.36877
"Raji",-1.21961,-0.09301,2.3575,-2.96857,-3.219,2.73668,-2.96403,-0.57401,0.90581,-3.01468,0.77205
"Ramos-2G6-4C10",-0.95942,-0.89485,1.98314,-2.57068,-1.43044,2.28896,-2.66488,0.0997,-0.12582,0.14393,-0.72872
"RC-K8",-2.13135,-0.66958,0.80861,-1.69555,-2.62741,3.73635,-0.12331,-0.52863,1.54878,-0.0929,1.98567
"RCC-AB",1.89118,-0.28138,-2.38396,2.45168,0.5146,0.43954,0.33697,1.36528,0.53359,1.86422,-0.86009
"RCC-ER",1.24872,0.43627,-4.37886,0.79269,1.68584,-0.78081,-0.61046,-0.87173,2.98201,0.84492,-0.91055
"RCC-FG2",1.20561,-0.65458,-2.20372,2.78074,0.80333,-0.66085,1.89205,-4.52772,1.65201,1.30482,-1.29072
"RCC-JF",0.80195,0.7662,-0.98191,1.79494,1.52384,-1.03079,1.2002,-1.36364,0.9902,0.42456,0.26815
"RCC-JW",0.38241,-0.93377,-0.41,2.11418,0.50318,-1.23188,0.75959,-1.48849,0.87701,1.20658,0.60254
"RCC-MF",2.40321,0.33691,-6.31269,0.57718,0.90217,-0.51379,-4.30597,0.10986,2.66052,2.16854,-2.81326
"RCC10RGB",1.99993,1.85459,-1.77884,0.99146,2.07841,-1.70732,-1.41354,0.29866,1.01708,-1.7631,-0.48105
"RCH-ACV",-2.78365,-0.61002,1.4844,-1.67092,-2.34748,1.53444,-0.20706,-0.02664,-0.92236,-0.75187,1.15109
"RCM-1",-0.73937,-0.71728,0.81491,2.1897,1.00553,1.35844,1.63859,-1.01091,0.00192,-2.69319,-1.58234
"RD",0.74024,0.78551,-1.67291,0.00679,-0.65212,-0.74205,-1.65961,0.39278,-0.64805,1.29032,0.37591
"REH",-1.9965,-1.36542,2.11972,-1.18408,-2.36532,0.48121,0.84699,-0.97512,-2.03966,0.92569,-0.61256
"RERF-GC-1B",-0.38388,-0.85621,0.18596,-0.88753,0.63745,-3.55951,0.05564,1.13937,-1.49478,0.27558,-0.33521
"RERF-LC-KJ",-0.69157,-1.05805,-0.18119,-1.04396,1.19988,-0.17275,3.59211,-3.5659,0.53146,-0.63864,-0.95959
"RERF-LC-MS",2.35059,0.67451,-0.50872,-0.01137,1.09839,-0.31434,-0.09926,-2.06884,1.04083,0.47819,-2.21371
"RERF-LC-Sq1",-0.13932,-0.04508,-0.41628,0.2594,-0.28299,0.66085,-0.23214,0.28303,0.36993,-0.05691,0.78544
"RF-48",-2.17758,-0.83555,2.5485,-0.52347,-0.77237,4.40164,-1.23172,-2.11711,2.01676,-0.19284,-0.14689
"RH-1",-0.42026,0.53469,-0.22622,-0.87167,-1.30942,0.05367,-1.76681,-0.90076,-0.59961,-0.16652,0.75631
"RH-18",0.42619,-0.83219,0.2726,-1.17976,-1.40811,-2.85502,-2.60707,0.69441,-2.14534,-0.37528,2.03181
"RH-41",0.86087,1.25618,-1.13209,-2.23281,-0.65081,-1.31145,-3.15047,1.83509,-1.54957,0.99786,1.5988
"RKN",0.55287,1.99808,-1.04535,0.39193,1.53118,0.92524,-0.49697,-2.45907,0.85492,1.41536,1.14687
"RKO",-0.30463,-0.62488,-1.28852,-1.9912,-0.16327,0.17531,1.68686,-0.89592,0.40057,-0.24606,-1.04716
"RL",0.32391,-0.52115,2.15887,-3.73482,-1.97953,1.77544,-1.12912,-0.4578,-0.09075,0.21275,-0.90372
"RL95-2",-1.21976,-1.12796,-0.65119,0.37074,0.25587,-0.17403,2.57273,-0.76084,0.05351,1.37556,0.55509
"RMG-I",0.33987,1.6941,-0.31259,-1.04855,1.59998,0.05609,0.81332,0.53293,-0.01221,0.40889,-0.51223
"RO82-W-1",3.42821,0.54209,-2.22038,-0.10576,1.22853,-1.497,-2.34896,0.98578,-0.63143,1.24766,-0.86966
"ROS-50",-3.48597,-1.35062,3.81677,-2.26476,-1.03707,1.10554,0.31115,-0.41857,0.04907,0.21801,1.64623
"RPMI-2650",-0.85866,-1.19444,1.67098,-0.46137,-1.17069,-2.0822,1.78228,0.73571,-1.29653,-0.71698,-0.21567
"RPMI-6666",-0.48014,-0.3133,1.52589,-3.35323,-2.64172,5.09919,-2.43553,-0.07945,1.49422,0.60242,-1.99744
"RPMI-7951",4.69855,1.65086,-0.37815,1.53141,0.23811,0.64309,-4.10858,4.31287,3.12512,0.79109,-1.57404
"RPMI-8226",-1.53633,-0.76786,3.40459,-0.04337,-2.76463,1.74136,0.94075,0.59922,-1.20063,0.69036,2.65098
"RPMI-8402",-1.34206,-2.30485,3.42213,-4.48461,-2.46481,-0.61116,-0.23727,-0.28179,-1.41994,2.46155,-0.05431
"RPMI-8866",-1.71056,-2.48142,2.03262,-2.60826,-1.19042,3.4586,-0.23349,-1.59342,1.58509,-0.22296,0.59119
"RS4-11",-2.35541,0.36134,2.01328,-2.6348,-1.98338,0.6355,-1.59421,-0.41319,-1.59683,2.04982,-1.32884
"RT-112",0.36309,0.39787,-0.64683,0.50544,0.96823,-2.04909,-0.28386,-2.45393,0.13866,-0.03029,-0.43952
"RT4",-0.04443,1.73095,-1.39918,-0.42907,1.31625,-0.68851,-0.87398,-4.88885,0.14781,0.64132,-1.00858
"RVH-421",0.0261,0.26291,0.33864,-0.97079,-0.75444,-0.31012,0.15081,0.32329,-1.03781,1.95503,-3.44246
"RXF393",1.88004,0.79113,-2.87041,2.39222,0.92174,0.8423,-0.72447,2.26037,2.55819,-0.66674,-0.4532
"Saos-2",1.68806,0.1311,0.48911,-0.70626,0.28765,-1.60865,-1.07847,3.19617,-1.32578,2.33258,0.36673
"SAS",-0.38939,0.08758,-2.64963,0.84955,0.57029,1.03198,1.77586,-0.14634,0.8993,-0.53735,1.7283
"SAT",-1.50413,-1.74654,0.20046,1.08666,0.57613,-0.20863,2.22883,0.71171,0.05842,-2.20826,-0.65928
"SBC-1",-2.98716,-6.63575,1.36061,-0.38495,-2.02878,-1.24589,-0.50375,-0.58559,-2.44358,-0.6408,1.40896
"SBC-3",0.49146,-0.5552,0.31945,-2.43416,-1.60652,-2.1036,-0.00941,0.10086,-0.80913,-0.77191,0.84941
"SBC-5",0.35686,-1.56036,1.02086,-2.15436,-1.28774,-1.30537,0.31831,0.05336,-3.16603,-0.48514,0.95746
"SCC-15",-0.27557,0.73729,-0.98526,1.29702,2.05761,0.97522,0.0633,0.33933,3.14018,-0.93747,-3.92109
"SCC-25",0.81653,1.93717,-2.86148,-1.50353,1.22061,2.3436,-0.68264,0.08035,3.7144,-0.76761,-6.78974
"SCC-3",-1.46848,-1.35917,2.00852,0.32801,0.05336,2.54063,-1.74277,-1.39308,1.13443,-0.38551,-0.5166
"SCC-4",-0.03983,1.85466,-0.6243,0.16409,2.46356,-0.24724,0.78786,-0.49751,0.3223,-2.01646,3.01841
"SCC-9",0.64031,1.69437,-0.2364,1.64807,0.5892,1.33946,1.08222,0.89791,3.28734,-1.86287,-5.29655
"SCC90",-1.30464,-0.42078,0.05624,-1.46034,0.12476,-1.82704,0.73006,1.11936,-1.76527,-0.17746,-0.54961
"SCH",0.39887,1.97935,-0.10935,0.75775,-1.24716,-1.25158,-0.0636,0.7489,-1.29385,1.28512,-0.67589
"SF126",4.19506,3.29014,-1.65333,-0.17158,0.54021,-0.16538,-3.85772,2.56757,1.00473,1.31151,0.1463
"SF268",1.50451,0.70469,-1.00135,2.67286,2.0935,-1.4665,-0.88144,2.94126,0.17822,0.64958,0.94069
"SF295",3.45225,1.58153,-0.10236,-0.3259,1.29077,-0.57608,-1.67127,1.32939,2.27167,4.64747,0.13375
"SF539",1.34387,2.48169,-0.57637,0.00836,1.17565,1.26428,-3.2267,3.09871,0.41827,0.58119,-1.30943
"SH-4",-0.44354,1.78969,0.04139,0.44685,-0.77805,0.47917,-0.44536,-3.57011,-0.95369,1.85268,0.55055
"SHP-77",0.03279,-1.07738,0.15608,-0.73254,-0.3703,-2.99341,-0.69207,1.59099,0.19021,-1.5262,-1.39891
"SIG-M5",-2.9013,0.05237,3.97079,-0.55529,-0.56233,0.10133,0.109,1.05649,-0.84305,-1.78331,0.69088
"SiHa",0.48013,0.82724,-3.07783,3.08142,0.63726,-0.01066,0.84446,0.5227,-0.0484,0.07624,1.56362
"SIMA",-0.66923,-1.23912,1.55915,-0.67845,-0.91416,-4.02848,0.5952,1.26654,-1.80246,1.39924,1.90709
"SISO",0.52852,0.12479,-1.14243,0.42942,1.39254,1.06968,0.52566,1.24646,3.83491,1.29634,0.42225
"SJRH30",0.57954,-0.27444,0.0066,-0.98784,-2.26956,-1.81476,-2.47347,1.62927,-1.8353,0.97928,-1.18111
"SJSA-1",3.37791,4.32847,-4.55998,-1.77318,-0.19192,0.16699,-2.43767,2.50463,1.65477,1.40137,0.42358
