"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"Calu-3",0.34535,0.14377,-0.86157,0.42374,2.32041,1.03378,0.72231,-1.45682,2.30266,-2.86856,1.35872
"Calu-6",0.82871,-1.30337,-0.28411,0.1438,0.7294,-0.81536,0.35288,1.4821,-0.65064,2.18852,0.6516
"CAMA-1",-0.91552,-1.17701,-0.77359,0.57115,-0.7616,-2.20586,0.76323,-0.92178,-0.8818,-1.15838,-0.2685
"Caov-4",-0.32833,-0.27949,0.38203,0.0398,0.08217,-0.32827,2.20014,-0.03802,-1.07775,-0.50732,0.49394
"CAPAN-1",0.28309,-0.44672,-0.41888,0.12541,1.8851,1.49676,2.51649,-0.5803,1.50087,-0.96005,-0.67398
"Capan-2",0.03683,2.11274,0.40111,1.14492,1.93624,0.64063,3.9739,-1.7495,0.84153,0.68004,0.4009
"CaR-1",0.18993,-0.48943,-0.88003,4.22541,0.10833,1.98924,-0.67625,-0.33643,3.41133,-0.70761,-1.75816
"CAS-1",3.49219,1.66687,-1.63107,0.39268,0.42975,-1.86358,-2.71539,3.20167,0.32326,2.35881,-1.15555
"CCF-STTG1",3.46593,1.23298,-1.35539,-0.06007,0.27269,-0.56595,-2.83093,4.50159,0.38988,3.50155,-0.51923
"CCK-81",-3.73473,-3.87264,1.0345,1.40422,-0.9592,-1.25066,5.91776,0.90313,-1.26941,-4.28716,-0.11835
"CCRF-CEM",-3.68921,-3.51835,3.93691,-1.75993,-2.95843,0.44325,-0.78903,0.26751,-2.13154,-0.39516,-0.49745
"CESS",-0.01449,0.68407,1.81337,-5.77585,-1.48962,5.40321,-3.39496,1.50843,3.56813,0.35873,-3.06935
"CFPAC-1",0.67832,1.50919,0.51626,1.2556,3.18562,0.62043,2.96642,-0.81774,1.2358,-0.89108,0.13653
"CGTH-W-1",2.43982,2.69387,-0.37114,-0.20674,-0.64109,-1.57744,-2.73227,3.03458,-0.01101,0.91666,0.82289
"ChaGo-K-1",-0.57279,-0.53871,-0.70897,-0.19184,0.0773,-0.95697,1.32446,0.29452,-0.8237,-0.68468,1.0168
"CHL-1",0.44768,-1.26197,-0.79249,-1.01484,-1.19214,-0.39082,0.08753,-1.8464,-2.25752,-0.55633,1.96573
"CHP-126",-0.25571,-2.50854,0.67745,1.20308,-1.79812,-2.40796,1.0172,0.97942,-5.53756,2.12504,0.41914
"CHP-134",-1.02223,-3.28519,1.18606,-1.75186,-2.59139,-3.50603,-1.06119,2.09586,-2.6707,-0.14702,-0.2111
"CHP-212",0.85736,-0.52347,-0.17486,0.13776,0.25007,-1.59185,-0.08607,2.1733,-1.39671,1.8394,2.96775
"CHSA0011",5.41424,4.4635,-1.98701,0.0234,1.75114,-1.46161,-2.16976,3.26998,-0.583,1.97896,0.02806
"CHSA0108",2.31121,3.56836,-4.29452,1.63356,2.1821,-1.09837,-0.62191,1.65644,-0.38287,0.82081,-0.04155
"CHSA8926",3.95792,0.52206,0.1479,-1.95639,0.03014,-0.42813,-2.75445,4.62421,-0.47157,1.40265,-1.64816
"CL-11",-0.47991,0.03202,0.31134,-0.1434,1.37316,0.76863,0.17432,-1.26457,-0.44268,-1.25769,0.65284
"CL-34",-1.98981,-1.96124,-0.65833,0.13449,-1.03817,-0.98381,2.21321,-0.78954,-0.99806,-5.43679,-1.10083
"CL-40",-0.0327,0.31912,1.01217,0.53906,1.76433,-1.1683,0.68088,-1.70302,0.19351,-2.38791,-1.53623
"CMK",-0.75633,3.40035,3.78973,-1.65119,-0.74625,1.46761,-1.1299,0.76359,-0.68959,0.45217,0.94717
"CML-T1",-1.77888,-1.35001,3.62933,-1.50112,-1.23553,1.14,-1.62989,1.07757,-0.36706,-0.95535,0.77261
"COLO-205",0.00856,1.40178,2.77802,1.08406,0.45558,-0.33297,1.47091,0.07342,-0.1932,-1.88353,-1.61552
"COLO-320-HSR",0.20446,-2.63293,1.24041,-1.8467,-1.384,-1.4786,-1.80309,0.22101,-1.9913,1.00088,1.25381
"COLO-668",-1.03382,-2.20654,0.24937,2.28486,-0.05915,-0.91465,-0.52946,1.65022,-0.37384,-0.70898,1.74637
"COLO-678",-1.05448,-0.20941,-0.74518,0.30092,1.32299,-1.06007,1.4697,-0.35925,-0.28511,-2.36921,0.85
"COLO-679",0.50271,1.28265,0.29077,-0.4616,-0.14288,0.75975,0.01003,-0.47208,-1.85255,2.54058,-1.14518
"COLO-680N",1.38643,1.09572,-0.08524,0.30205,0.68497,0.80051,1.92813,-2.07484,0.77854,-1.12063,-1.65633
"COLO-684",-1.90781,-2.27179,1.40265,1.43581,-2.89715,-2.06255,-1.66931,-0.47194,-2.08207,-0.24036,2.21197
"COLO-783",1.6588,2.95618,-0.72,0.63955,-0.38939,0.24623,-0.78717,1.87889,0.71478,1.19552,-2.73957
"COLO-792",-0.15583,1.17687,0.73945,0.06305,-1.02098,-0.67221,0.02581,-0.97346,-0.72964,2.06813,2.11905
"COLO-800",1.6459,0.99537,-0.94209,-0.06697,-0.95273,-1.1211,-2.13879,2.56398,-1.40999,4.85619,-3.42257
"COLO-824",-0.26057,-1.57226,-2.1764,-0.54023,-0.85864,-1.20396,0.33989,0.05417,-1.55603,0.03347,0.78155
"COLO-829",-0.58758,-1.04084,-0.4025,-1.06879,0.55464,-0.03243,-0.18753,-2.60093,-1.01396,1.6591,-0.01067
"COR-L105",0.85615,-0.22934,-1.09464,2.16613,0.35353,0.21918,0.43751,-0.60867,0.26008,1.03429,-0.35366
"COR-L23",0.9303,2.97375,1.25671,-1.4153,1.298,1.59476,0.28769,0.14526,0.74554,-0.0218,-0.03105
"COR-L279",-1.5493,-0.5957,1.26526,-2.3793,-0.81675,-2.14401,-1.17145,1.18742,-3.23264,-0.22133,0.70888
"COR-L303",-2.11257,-2.42866,1.45732,0.87146,-1.69356,-1.21997,-0.46747,0.03165,-3.12453,-0.31455,1.08137
"COR-L311",-1.64426,-0.26795,0.50669,-0.62775,-0.69629,-1.36453,-0.75401,-0.27638,-4.46929,0.66762,-0.00779
"COR-L32",-0.93965,-2.37059,1.08828,0.79682,-0.38844,-1.38393,-0.74157,0.04431,-1.37954,-0.31596,-0.05713
"COR-L321",-0.61616,-0.80203,1.34165,-1.27376,-1.12113,-1.58427,-1.0812,0.89913,-2.39384,0.88301,2.08365
"COR-L88",-1.20998,-0.55359,1.82425,-0.38285,-2.2417,-1.16839,0.83488,-0.36653,-3.10119,-0.17635,0.05536
"COR-L95",-0.939,-1.26256,1.34003,0.61672,-0.22938,-0.56277,-2.20092,0.63857,-0.45225,-1.82707,0.67291
"CP50-MEL-B",0.69478,0.55903,2.38287,-0.5304,-1.02587,0.24648,-0.12537,-3.44175,-1.5332,4.29535,-1.3399
"CP66-MEL",-0.52073,-1.14222,-0.13423,0.94429,-0.15676,-0.15172,0.19762,-0.35604,-1.21942,2.88096,1.63015
"CPC-N",-1.08844,-2.54171,0.73292,2.86503,-3.07293,-1.91578,0.32073,1.70602,-2.77496,0.95932,1.58151
"CRO-AP2",-1.70909,-0.6712,0.16732,-2.20708,-0.60598,0.84564,-0.00623,0.19817,-0.6645,0.00493,0.47772
"CS1",2.97518,2.33734,-0.53035,-0.42669,1.56596,1.1142,-1.4355,-0.27827,0.77402,0.33629,2.01721
"CTB-1",-2.62153,-0.93293,2.13916,-0.83929,-2.37415,1.5852,0.54215,-0.40722,-0.26801,-0.19802,2.39078
